"YEAR","CASEID","SERIAL","REGION","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","PERNUM","LINENO","DAY","WT06","AGE","SEX","RACE","HISPAN","ASIAN","MARST","EDUC","EMPSTAT","MULTJOBS","WHYABSNT","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","DIFFANY","ECPRIOR","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_FOOD","BLS_HHACT","BLS_LEIS","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK"
2023,20230101230908,34,4,12,2,1,0,1,0,999,2,1,1,4,8112484.932596000,69,1,100,100,999,1,40,5,99,999,99,9999,99999.99,1,65,2,100,100,21,4,999,99999.98,1,0,0,0,0,0,150,300,360,570,60,0,0
2023,20230101230913,35,2,16,4,1,1,1,1,15,3,1,1,1,8860925.026757000,44,2,100,100,999,1,40,1,0,999,1,40,1000.0,1,46,1,100,100,30,1,50,1961.53,1,0,60,0,60,0,120,120,440,600,40,0,0
2023,20230101230925,36,2,6,1,1,0,1,0,999,1,1,1,1,6556441.306242000,66,1,100,100,999,4,20,1,0,999,2,29,76.92,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,50,2,420,828,0,140,0
2023,20230101231024,37,3,12,1,2,0,1,0,999,1,1,1,2,12273661.86131100,24,2,100,210,999,6,40,1,0,999,2,20,1000.0,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,60,530,60,150,100,540,0,0,0
2023,20230101231039,38,3,14,5,1,1,1,3,8,2,1,1,2,14291770.56222000,42,1,100,100,999,1,43,1,1,999,1,50,99999.99,1,43,2,100,100,41,1,8,99999.98,1,1,10,0,0,0,130,0,250,552,0,0,498
2023,20230101231045,39,3,4,1,2,0,1,0,999,1,1,1,6,9812651.857589000,80,2,110,100,999,3,13,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,33,237,390,780,0,0,0
2023,20230101231048,40,1,13,1,1,0,1,0,999,1,1,1,2,5917042.124189000,76,2,100,100,999,6,41,1,0,999,2,30,1153.84,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,95,80,905,360,0,0,0
2023,20230101231075,41,2,16,1,1,0,1,0,999,1,1,1,4,6390227.807171000,75,2,100,100,999,4,42,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,2,0,0,0,0,0,165,225,480,570,0,0,0
2023,20230101231081,42,1,14,2,1,0,1,0,999,2,1,1,2,7071705.063119000,71,1,100,100,999,1,31,5,99,999,99,9999,99999.99,1,71,2,100,100,41,4,999,99999.98,1,0,0,0,0,0,160,2,528,720,0,0,0
2023,20230101231096,43,3,14,2,1,0,1,0,999,2,1,1,7,3219112.894232000,64,2,100,100,999,1,40,1,0,999,1,40,680.0,1,59,1,100,100,41,1,40,1153.84,1,0,0,0,0,0,60,50,550,780,0,0,0
